Author,Title,State,District,Ban Status,Year,AI_Theme,AI_Theme_Confidence,AI_Theme_Reason
"Green, Tim",Left Out,Texas,Frisco Independent School District,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Greenberg, Blu",King Solomon and the Queen of Sheba,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Greene, Rhonda Gowler",The Stable Where Jesus Was Born,Florida,Brevard Public Schools,Banned in libraries and classrooms,2022,Religion,medium,Religious identity or belief appears central.
"Greenman, Catherine",Hooked,Texas,Frisco Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Greenough, Sarah",André Kertész,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gregorio, I. W.",None of the Above,North Carolina,Pender County Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gregorio, I. W.",None of the Above,Oregon,Canby Public School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Grimes, Nikki",Ordinary Hazards,Texas,Texarkana Independent School District,Banned pending investigation,2022,Violence / Trauma,high,"Violence, abuse, or trauma is central."
"Grisham, John",Kid Lawyer,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Grisham, John",The Abduction,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Grisham, John",The Accomplice,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Grisham, John",The Accused,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Grisham, John",The Activist,Texas,Frisco Independent School District,Banned in libraries,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Grisham, John",The Fugitive,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Grisham, John",The Scandal,Texas,Frisco Independent School District,Banned in libraries,2022,Violence / Trauma,medium,Author/work often centers conflict or trauma.
"Groff, Lauren",Fates and Furies,Florida,Miami-Dade Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Brevard Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Escambia County Public Schools,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Highlands Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Orange County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,Santa Rosa County District Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Florida,St. John's County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Michigan,Chippewa Valley Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Oregon,Canby Public School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Pennsylvania,Penncrest School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,South Carolina,Beaufort County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Texas,Keller Independent School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Utah,Canyons School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Utah,Davis School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Utah,Granite School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Utah,Washington County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Virginia,Hanover County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Virginia,Spotsylvania County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruen, Sara",Water for Elephants,Wisconsin,School District of Somerset,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruitrooy, Gerhard",Degas: Impressions of a Great Master,Missouri,Wentzville School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gruwell, Erin",The Freedom Writers Diary,Florida,Escambia County Public Schools,Banned pending investigation,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Florida,Martin County Schools,Banned in libraries and classrooms,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Florida,St. John's County School District,Banned pending investigation,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Pennsylvania,Penncrest School District,Banned pending investigation,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,South Carolina,Beaufort County School District,Banned in libraries,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Utah,Davis School District,Banned in libraries,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Utah,Granite School District,Banned in libraries,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Utah,Washington County School District,Banned in libraries and classrooms,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gruwell, Erin",The Freedom Writers Diary,Wisconsin,School District of Somerset,Banned pending investigation,2022,Political / Social Issues,medium,Political or social-justice issue appears central.
"Gudsnuk, Kristen",Back to the Drawing Board,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gudsnuk, Kristen",Making Friends,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gudsnuk, Kristen",Third Time's a Charm,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gurtler, Janet",You Too?: 25 Voices Share Their #MeToo Stories,Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gurtler, Janet",You Too?: 25 Voices Share Their #MeToo Stories,Florida,Volusia County Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Guterson, David",Snow Falling on Cedars,Virginia,Madison County Public Schools,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gyasi, Yaa",Homegoing,Florida,Clay County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gyasi, Yaa",Homegoing,Florida,St. John's County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gyasi, Yaa",Homegoing,North Carolina,Cumberland County Schools,Banned in libraries,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gyasi, Yaa",Homegoing,Oregon,Canby Public School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Gyasi, Yaa",Homegoing,Utah,Washington County School District,Banned in libraries and classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Ha, Robin",Almost American Girl,New Jersey,Watchung Borough School District,Banned in classrooms,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
"Haack, Daniel",Maiden and Princess,Florida,Escambia County Public Schools,Banned pending investigation,2022,LGBTQ+ / Gender,high,LGBTQ+ or gender identity is central.
"Hacht, Anne Marie","Literary Newsmakers for Students, Vol. 1",Florida,Clay County School District,Banned pending investigation,2022,Other / Unclear,low,Insufficient title/author information to identify a main theme.
